epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43822,3.05714,3.52267,2.56988,0.00333,1,0.00765,0.0025,2.27533,4.01605,2.59508,2e-05,2e-05,2e-05
2,2.87677,3.18158,3.80199,2.79606,0.00333,1,0.00771,0.00348,2.2992,4.1976,2.59129,5.406e-05,5.406e-05,5.406e-05
3,4.14422,3.46383,3.27088,3.32142,0.00333,1,0.00614,0.00279,2.5232,4.31294,2.70299,8.02e-05,8.02e-05,8.02e-05
4,5.37384,3.13391,3.0989,2.65601,0.00333,1,0.00594,0.00208,2.65324,4.62508,2.80053,9.842e-05,9.842e-05,9.842e-05
5,6.71816,2.59417,3.6753,2.52617,0.00333,1,0.00554,0.00169,2.72438,4.97952,2.86952,0.00010872,0.00010872,0.00010872
6,8.25511,2.2218,3.04567,2.07122,0.00333,1,0.00554,0.00169,2.72438,4.97952,2.86952,0.0001111,0.0001111,0.0001111
7,9.77067,2.24994,2.78225,1.92978,0.00333,1,0.00353,0.0011,3.28579,4.75016,3.09062,0.00010556,0.00010556,0.00010556
