epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3867,5.29838,4.67582,4.42263,0,0,0,0,5.04827,4.06508,4.16005,4e-05,4e-05,4e-05
2,28.8763,5.20257,4.58186,4.36509,0,0,0,0,5.04972,4.06584,4.16109,8.02e-05,8.02e-05,8.02e-05
3,42.1395,4.82569,4.38353,4.32689,0,0,0,0,5.05166,4.06795,4.1623,9.664e-05,9.664e-05,9.664e-05
4,55.4592,4.82828,4.34912,4.17556,0,0,0,0,5.0542,4.07152,4.16377,8.932e-05,8.932e-05,8.932e-05
5,68.5593,4.83683,4.0341,4.19454,0,0,0,0,5.05749,4.07594,4.1656,5.824e-05,5.824e-05,5.824e-05
