epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.07901,3.01417,3.47176,2.3657,0.00333,1,0.0078,0.00255,2.26967,4.05328,2.57607,2e-05,2e-05,2e-05
2,2.18954,2.88652,3.4263,2.71532,0.00333,1,0.00783,0.00357,2.21042,4.43131,2.6317,5.406e-05,5.406e-05,5.406e-05
3,3.36933,3.47318,3.28174,3.11692,0.00333,1,0.0076,0.00274,2.57312,4.39299,2.79937,8.02e-05,8.02e-05,8.02e-05
4,4.41548,2.93953,3.18735,2.52827,0.00333,1,0.0062,0.00202,2.72733,4.77013,2.85757,9.842e-05,9.842e-05,9.842e-05
5,5.35901,2.45419,3.07239,2.38723,0.00333,1,0.0064,0.00238,2.72354,5.74673,2.90918,0.00010872,0.00010872,0.00010872
6,6.27886,2.34496,3.2532,2.11802,0.00333,1,0.0064,0.00238,2.72354,5.74673,2.90918,0.0001111,0.0001111,0.0001111
7,7.30058,2.0084,3.08539,1.80941,0.00333,1,0.00677,0.0013,3.45764,5.92662,3.17199,0.00010556,0.00010556,0.00010556
