epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8755,4.87783,4.55649,4.44128,0,0,0,0,5.10015,4.06474,4.16047,6e-05,6e-05,6e-05
2,40.0797,5.20502,4.46684,4.30613,0,0,0,0,5.1022,4.06665,4.1619,0.00011228,0.00011228,0.00011228
3,60.262,4.54744,4.11135,4.27815,0,0,0,0,5.10538,4.07181,4.16369,0.00013288,0.00013288,0.00013288
4,78.6413,4.35901,3.76927,4.21365,0,0,0,0,5.11011,4.07955,4.16624,0.0001218,0.0001218,0.0001218
5,95.6988,4.50599,3.73828,4.08662,0,0,0,0,5.11424,4.08551,4.16848,7.904e-05,7.904e-05,7.904e-05
